,Year,Champion_Team,Score,FMVP,Id
0,1982,LAL,2-Apr,Earvin Johnson,1982LAL
1,1983,PHI,Apr-00,Moses Malone,1983PHI
2,1984,BOS,3-Apr,Larry Bird,1984BOS
3,1985,LAL,2-Apr,Kareem Abdul-Jabbar,1985LAL
4,1986,BOS,2-Apr,Larry Bird,1986BOS
5,1987,LAL,2-Apr,Earvin Johnson,1987LAL
6,1988,LAL,3-Apr,James Worthy,1988LAL
7,1989,DET,Apr-00,Joe Dumars,1989DET
8,1990,DET,1-Apr,Isiah Thomas,1990DET
9,1991,CHI,1-Apr,Michael Jordan,1991CHI
10,1992,CHI,2-Apr,Michael Jordan,1992CHI
11,1993,CHI,2-Apr,Michael Jordan,1993CHI
12,1994,HOU,3-Apr,Hakeem Olajuwon,1994HOU
13,1995,HOU,Apr-00,Hakeem Olajuwon,1995HOU
14,1996,CHI,2-Apr,Michael Jordan,1996CHI
15,1997,CHI,2-Apr,Michael Jordan,1997CHI
16,1998,CHI,2-Apr,Michael Jordan,1998CHI
17,1999,SAS,1-Apr,Tim Duncan,1999SAS
18,2000,LAL,2-Apr,Shaquille O'Neal,2000LAL
19,2001,LAL,1-Apr,Shaquille O'Neal,2001LAL
20,2002,LAL,Apr-00,Shaquille O'Neal,2002LAL
21,2003,SAS,2-Apr,Tim Duncan,2003SAS
22,2004,DET,1-Apr,Chauncey Billups,2004DET
23,2005,SAS,3-Apr,Tim Duncan,2005SAS
24,2006,MIA,2-Apr,Dwyane Wade,2006MIA
25,2007,SAS,Apr-00,Tony Parker,2007SAS
26,2008,BOS,2-Apr,Paul Pierce,2008BOS
27,2009,LAL,1-Apr,Kobe Bryant,2009LAL
28,2010,LAL,3-Apr,Kobe Bryant,2010LAL
29,2011,DAL,2-Apr,Dirk Nowitzki,2011DAL
30,2012,MIA,1-Apr,LeBron James,2012MIA
31,2013,MIA,3-Apr,LeBron James,2013MIA
32,2014,SAS,1-Apr,Kawhi Leonard,2014SAS
33,2015,GSW,2-Apr,Andre Iguodala,2015GSW
34,2016,CLE,3-Apr,LeBron James,2016CLE
35,2017,GSW,1-Apr,Kevin Durant,2017GSW
36,2018,GSW,Apr-00,Kevin Durant,2018GSW
